"","SITESTN","start","stop","duration","STOC_ANY_N","STOC_4N_N","STOC_IRREG_N","STOC_BARK_N","STOC_WHIS_N","STOC_BEG_N","STOC_PAIR_N","FEMALE_N","MALE_N","UNK_N","JUV_N","reproState","Distance","XNAD83FP","YNAD83FP","dist_intended"
"126","WC_18",2021-05-05,2021-08-23,110,49,10,2,43,0,0,4,8,7,38,0,"pair",1023.896967,442515,4870232,1000
"127","WC_19",2021-05-05,2021-08-23,110,1181,404,526,323,83,0,206,587,444,356,0,"pair",0,443526,4870394,0
"128","WC_20",2021-05-05,2021-06-15,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",956.002092,444482,4870396,1000
"129","WC_21",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1990.202251,445510,4870237,2000
"130","WC_22",2021-05-06,2021-08-23,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",3061.013231,446585,4870283,3000
"131","WC_23",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2375.52731,441269,4869653,2646
"132","WC_24",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1713.170453,442049,4869526,1732
"133","WC_25",2021-05-05,2021-08-23,110,16,3,11,2,3,0,0,11,1,4,0,"pair",972.451027,442907,4869644,1000
"134","WC_26",2021-05-05,2021-08-24,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1065.615784,444170,4869545,1000
"135","WC_27",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1740.514866,445030,4869518,1732
"136","WC_28",2021-05-06,2021-08-23,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2580.609618,445921,4869433,2646
"137","WC_29",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2640.117611,441465,4868744,2646
"138","WC_30",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2008.011205,442536,4868647,2000
"139","WC_31",2021-05-05,2021-08-24,111,1,1,0,0,0,0,0,0,1,0,0,"pair",1743.688619,443575,4868651,1732
"140","WC_32",2021-05-05,2021-08-24,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1964.675291,444419,4868644,2000
"141","WC_33",2021-05-05,2021-08-24,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2658.274064,445540,4868659,2646
"142","WC_34",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",3047.770333,442116,4867692,3000
"143","WC_35",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2630.426962,443061,4867805,2646
"144","WC_36",2021-05-05,2021-08-24,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2628.612562,443926,4867796,2646
"145","WC_37",2021-05-06,2021-08-23,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2979.044478,445081,4867853,3000
